3,1.984,5.6,1.996,"","",""
8,1.884,14.4,1.953,".25","0.26","28"
11,1.796,19.8,1.917,"0.24","0.25","22"
12,1.771,21.3,1.905,"","",""
18,1.554,30.1,1.827,"0.2","0.24","13.2"
21,1.457,33.9,1.790,"0.2","0.24","10.8"
24,1.369,37.7,1.757,"0.12","0.23","9.4"
31,1.186,44.7,1.7,"0.156","0.22","7.4"
54,0.774,59.3,1.6,"0.1","0.21","4.4"
57,0.741,60.6,1.592,"0.096","0.2","4.1"
68,0.637,64.3,1.544,"0.082","0.2","3.4"
76,0.579,66.0,1.535,"0.074","0.2","3.3"
88,0.502,69.6,1.525,"0.064","0.196","2.8"
96,0.464,71.,1.52,"0.06","0.196","2.7"
98,.455,71.2,1.51,"0.06","0.2","2.2"